tag,name,trophies,clan_tag,clan_name
#RGQJQPPP2,star,3924,#QG8Y2Y2C,STAR
#9CPYVPCY,Blu Flame,5711,#GC890VGU,DFD
#2020LVLJCR,suco,7624,#G9VLUR9P,WAR
#Q0JR2CLPJ,海听,1876,#PGYJQR90,Star
#YVUQYRQQL,Santi crak,330,#L8J9G9UJ,como
#JJVVJYLV2,Mozzie,565,#L89VVL9P,war
#V98R8G90C,Asianinvasion,3000,#LYQ09QPU,Clan
#UGJG8CPGG,滚石,8015,#QQG8VJVP,KING
#82JJ0JVQ,darkness,7792,#LJVLJL2U,STAR
#YU2GPCVUV,Ly52,10000,#Y0P8C00J,King
#RLV8JUR,HIyaR_AgasI,7383,#QVJJJUJ0,Pro Team
#V0GQLQ0GC,najixx,2780,#C8LRY0Y,clan
#VLQPRG0JL,Josh_CM,760,#LCJCLC2Q,ozkr besto waif
#29YU0RVL9,单纯明,5308,#Q8Y2999V,21712山寨
#9ULQGJPU2,Dingus,9507,#PCU2GQUV,The Waiting™️
#PGLJ908J,Breno Gonçalves,7847,#QYRLRC9G,Como é amigo?
#VLQ0LVCP2,Miningmaster654,246,#Q2020RQ8,the The
#VGJY892P8,Mendez,7573,#QC9LRLVJ,pro
#VP09Q8YVY,Nacho_man20,4266,#GPGL9YVP,DFDU
#U80YGUQV,Rua dela,10000,#G8YYJ89L,919
#RV89YRL2U,Batman1234,1338,#Q8YJVJ8Y,LEGEND
#L889RVRPC,julian,4021,#LP9UPR0U,los pro los pro
#VQGC80CG0,GTGinger,7021,#QRUPCL0G,Clan
#PVJ8GU8CV,Bandit@,1129,#PLYGRYQU,MEGA
#208GRJ0RVY,Krisss,2461,#YJ0JQ0LR,Star
#UPVJ8PCUR,NotJosh,9115,#G0LPQ2VJ,clan
#88Q02L8U,raviteja,6500,#8GQCQJ,NightFury COR
#9G8802P0Y,gol roger,8052,#Q88U2PVG,como sea..#
#RRCPP22U8,CHAKALITO,5385,#RLPJV0UR,star
#VQURP9VGY,Alber,1600,#G9V0C2LG,star
#2U8JCVQQJ,Gonza2143,5321,#LRUGURLV,grupo pro
#GYY9CQCRQ,jeronimo,4390,#GCYVR0V2,mega
#20Y2Y8L0C0,pep,220,#Q8Y28YLL,Roy
#20GLCJQ92L,AbdElKader,6114,#GR929QUL,KinG
#CYG8JPUPV,obiwanmorerep,10000,#RRPG0YC8,clan
#L2GQ0R02C,ANDREI,1134,#QCGV80U2,star
#2LQ0G8VQJ,PZ 05,9587,#R09G0Q9L,Pro Club
#UQLVV9CPP,DON CHIMBO,4600,#QUQRRRR8,como sea
#JPCYUQV9V,Isa,9590,#G99RY9L9,KING
#89YC2P0VV,Clix,9706,#RQ8RRP2L,king
#JLQGLPLQG,502ㅤあㅤNϟNJ4ㅤメ,8158,#QURY0RRQ,pro guate
#V2R2PRLP9,RickyPro,5226,#QQ9V9G0V,KING
#JR0JPRQVU,puhbel,8617,#G2LRVGCP,clan
#GJLCGQGV,kram94,7766,#8C2LCYY0,BCN PRO TEAM
#LGU9GJY,JESSANATOR,10000,#GQ9R2C0R,8ussy 8usters
#20PL98PJQ0,Rizz okm,3273,#LPQJYQQL,los pro
#2U0989C8,love,7328,#GG8GPR2V,THE
#UVCLCCLL2,Ashley,736,#R2G09U88,War
#CVCJ0VGUV,RHRodo:/,8055,#G2YV9C2L,LEGEND
#VGU2YG8UL,tex_gs,5362,#YQV2LG2Y,mega
#V2Q8J9YGG,kerrzyx,6885,#G0GVR9GP,wait till 8k
#2LG9YU0JP,Nickjohna,3052,#RPVLUG8V,La 315 byIbarra
#UUYV9RL9J,Dani pro,1458,#GUQ008R8,como
#PVRRULGLR,RAmBo,2624,#8GQCQJ,NightFury COR
#VJYPJLPLQ,Caue,3809,#QV8RULVC,Legend
#R0JR9UJ9L,Aarón,85,#LQ8UR0GR,Mega
#JQ9LRP8CU,Rafael OP,5500,#Q9V9GGQP,Roletones Pro
#2PYJ0YVV,Dan,10000,#LY22VRCJ,Clan
#VL2QUYYJY,sigma,6259,#RP2JQ2QP,Como Cà Vá?
#VU989GGJL,cristian,4061,#QYUQCVV,Il vero top roy
#UQ9JQVVY8,SleepySZN,1058,#G8UUCVJU,King
#UVQLRVRV8,ayranpower,7060,#QRJ200GC,217
#RPG282Q0V,Kamulu,7677,#RJCJ2LCY,Waiki Mafia
#V0C9P2CPY,THE KING,1061,#G0LJJUVU,KING
#9UUURJCLQ,matu,7611,#LG8RQL8R,Legend
#YPR9PV9Y2,colt,4741,#YJP8G89V,waiting
#209VQ0G9P2,Ma,258,#GLVVLRPP,ajb
#20QG988VRL,A_Real_PlayA,1528,#QRG2C2J0,clan
#JRRCJCYLL,daSIMONwizard,1565,#QRCGU808,PRO GAMBLERS
#VJUL22RP8,امین,3677,#QLUVLYCR,KING
#UL0R8JQJ9,khranas,3318,#G0U08LJC,LEGEND
#GJPLQ28PJ,tavio,8037,#LG0CV02R,War
#2JCYYLU9U,Glitch,4690,#LQ2Q920L,mega
#VYPL8UUR0,_BOSS_777,372,#Q0GJ9UJJ,mega
#QQQ0G0VL8,jk219,5143,#G0LPGQRY,Como quiera
#V8RR2QQJV,meech,6756,#8YJJ8U,wait for it...
#JJ2YQPJJU,Luis,10000,#2JVPYJ90,GUATEMALA PRO
#UUYVRR0LG,₹么ᴳᴮツᶜʰʳᶦˢ么₹,6220,#88VYGJRU,chicas pro
#9RGJ8CCQ2,fono2204,9325,#LCGPVPV0,como quieras
#QU020YVU9,Hyatt,360,#YRLRUCQQ,coc and cor
#YCUP9CRU,Nayf 07,8150,#PJ2UQYU,king
#JPCRY8,NordioZ,6333,#9UVJ802V,war war war
#V2GGQYC2C,JohnUic,1696,#LPQJYQQL,los pro
#202YYYGUVU,@cleidson77_,6041,#G8PYUG08,clan
#URGLY98YL,justinomonty,3664,#QJYRC2R2,king
#20GR0209JL,jg1510,2360,#GJ9J2L2P,Clan
#Q29U8GGL2,Димон-Лимон,8207,#GRU2RJPL,King
#PL92V8908,ghhjjhgggbh,640,#YRLRUCQQ,coc and cor
#2P8QYRPV2,ali,8570,#QVJJJUJ0,Pro Team
#U2RRQ8VCV,Botsito,513,#GP88GULL,mega
#JCJ09Q8L0,siyar.0,5172,#R8UCYRRJ,WAILTICY
#VP2JQR2Q8,444_ivaan,2638,#G9U8Q0UP,Dura como gema
#JL88PJ90,FBI_Ian_07,10000,#RC29YP9C,CLAN
#CGJVYV9LU,u r bad,200,#PYQ029CQ,D4NGO LLAMAS
#VGVPYPY,evelyn,8154,#QQJ0J29J,Como Caiga
#VLR0RR22R,PuppyLilli,1151,#R8GY9J20,War
#UPVPR980U,mine,6000,#G9JCRC00,D pro 67
#Y8PYU9QR,karar keng,10000,#GLCPY2LR,king
#R2YR9Q2RC,palel,288,#YGGLQP0C,MEGA
#UCUCV888L,batmanli cengiz,5167,#QLPVP8LP,pro olanlar
#UL0QCJYLJ,david,737,#RGGY828G,clan
#YRCULC9R,javiqaz,9594,#GCUQGJ20,MACHOS ALFA PRO
#88G9PYCJ,rito,9215,#RLY8UR8C,king
#U9L09RQ0G,ventu,0,#G0Q0YU9L,king
#2PYRYG228,Yaso,2272,#GQ28UL8Y,waikon
#Y9Q0LQGY9,karan Jatt sidh,262,#YJUUYLVU,COR KINGS
#8R2GCPCQ8,ØrvarGünner,9746,#GPPLJR98,COMO SEA
#9CVJVQ8J,Mr.Ace-Youtube,10000,#LPLGQ0YV,King
#JG808YPVC,سما,29,#YQJ28Q9L,mega
#UCCV2GGRV,M_A_F_I_A _ O_P,1672,#RLY8UR8C,king
#GPGVQ08U,Stranger Danger,4675,#GQQ0R20G,king
#UL9PCYYVV,yanlima33_,9530,#G8UQ00JU,The king the of
#GLLLQ9J8L,ᴷⁱⁿᵍＬｉｇｈｔ玄,10000,#R2RP9JGR,ｌｅｇｅｎｄ
#QJ08Y2Q0J,arnau,1690,#LY2RR280,Como veas
#9JP8J8Q0L,lumi pallo,1087,#9R8P2QPC,Mega
#J8J992LR9,KILLER,9262,#QYUQCVV,Il vero top roy
#GLYCP82UY,jomjom,30,#YJ8RCJ8V,mega
#209J2YP08Q,omegs mini,1601,#R9VRJ229,Roy Recruits
#UVG80GJR0,Adam_mlk91,2566,#GJ0G0P2L,91940
#GGGUPVR2Y,Jman414,8828,#GLPJ2L9G,Wenagade Waidas
#9R9Q00J92,Boss,5118,#R0JP0J02,GAYm Pro
#2LJRUCU8,ursidae,10000,#LL2Y0PLY,war war war war
#CCYRJGP88,timur_mor,7591,#GCY92QVJ,LEGEND
#G089J2QYL,TacticalSid,4805,#QU9VU82J,nfn
#U0GLVPLCL,lofi,9030,#QG98P9UG,the
#20Y9UP889G,Zaa,6029,#QC8VL9JR,legend
#ULR0CC2QJ,gffb,29,#8UCJVVJ0,dfdas leis
#CJQYY2LYQ,joaomathias202,30,#G0QUUJ0L,como tu
#9PVPLUPLL,Anton,8245,#RGG0GQJL,KING
#CPJV8PLCC,drako goat,2738,#Q92RV8RV,WRT
#20PUJL0V88,Alya Best Waifu,2666,#RLL8VRJ0,anime waifus
#PJY2LYJPR,TylerB,10000,#2CVC99G,pro balllerssss
#UVQJGJ0RL,rey rambo,0,#G0RP9JP9,como sea
#RV9RGU9,MJudge,8414,#QRJC8UPL,Roy
#VVRVJV8RP,28,1437,#QCGGLP0Q,NfNh
#LLQP9C9RJ,MRシINSANE™,8626,#29RQ880,LEGEND
#U0LUR2Y2Y,blk girls<3,7201,#GCU2LPG8,Clan
#RG0V0YYYG,jay,2090,#G9CCY0QY,zoeken
#9QQU9CGP9,GOD¥405,5777,#QUGL8UJY,STAR
#V8LYCVYL8,ohh guardian,3177,#GQCC0CCP,the boys
#U22CQQU0P,ابو نايف☆,8308,#QVY9G002,war is war
#RU8RYYQQP,anderson,1449,#QLPRGJVG,Mega
#LJ8QQLL9L,andrew,7736,#GJ9U8PVU,Clan
#RJGJ8U9YQ,Sullian,8374,#G8GP0YR2,CHAMBRE 217
#V2VPQV2YL,LachDogTopDog,4207,#RYQUCCPJ,Waikato Whanau
#Y88G08P20,Bydacapo,5744,#GQQ9UVGG,Clan
#9VC8PJ8Y,Juan-Dip #1,9077,#RL2RCGVP,LABOULAYE PRO
#UCPRPR8QR,mirschi,4685,#GJYGGV89,mega
#GR09QLJRL,GABE_ITCH,7417,#QVUJU80P,Waifu Warriors
#20LRCJ9C2Q,zuldaf 385,776,#QVLJC99V,King
#VC22YQYYR,Dewalt,2000,#RLYUVUJ2,War
#QPPY22QRV,freefirebhai,29,#PUCUVYGP,War war war
#L0P8GL88,Filippo,7554,#Q0YJJRG2,1CA CORNARO
#UPQC8LJU0,you,30,#YPLU808L,war war war war
#9Q0UG8YPJ,Adrian cr7,735,#LCJQ9QJL,como quieras
#VQUVRYJGU,The Emperor,63,#QYY298PG,instructeur roy
#UUG02V9LG,dareeellll,1130,#Q9Q0VPPY,ROY KEANE
#V2GP8Q8R9,₩mohammad₩,8163,#R9VURGP9,KING
#CJ9J8LP2P,KingJulian,10000,#QVUJLQRV,king
#Q2CLLU9YQ,ESPARTAN5327,7813,#QQC0UQ9V,KING
#LLQ8L08CY,ABC,8263,#GC0R2QVL,KING
#UVQURVYJP,Thomy,5351,#LVYJYP2U,COR Pros
#Y82Y2JR2,★★mayorga★★,10000,#QU28CQG0,como quiera
#VVL8G0CGL,yyfd,6399,#CCGR9R,Clan
#20LCC8U2YC,ariel_10,872,#VG809G9,Amigos pro
#2020PVLQU2,el primo,6191,#PG9QJQJ2,LOS MASTER PRO
#UR8GQ8U2U,овощь,6653,#G2UYYRR8,mega
#280RQVJ8,FighterGunKells,5234,#G2CQR8VV,waikikipride
#U0LQRP00L,Andre,2031,#Q9UPLGJC,5to Pro
#JP0VL9R9V,The Dark Lady,5083,#2089PPUP,legend
#2U8RVU8V8,R Lopez Slash,7033,#QJ2G0QQ8,star
#UVJ0C0RGL,תכתכ,3862,#R0CRCL0L,the
#VJCLCY9JG,samir,2529,#Q28VR2J0,King
#JV0UVCVLC,paolinchis,1032,#QLCYQVP2,jj7
#2UYL0CGJ,hannahjoshua,10000,#GQ9R92Y9,CLAN CLAN CLAN
#20QVCC0089,otistikadam,31,#QVJLRURG,roy
#G9CJ0CVC,zain,7156,#RL8C9PRL,star
#2000JQR0RP,PEKKA,10000,#YUUVLLGY,CLAN
#208R8YYJJL,Predu,1787,#RR8L0PP9,7V2 e Manu❤️
#JVL9UJVCV,easy win,7483,#R00JRUQU,Mega
#Q29PUPL0R,aa wiep brootje,9304,#QL299LPU,NFN
#VC29GGQ8L,raptalia,6537,#RLPJV0UR,star
#UUGP92VUJ,مبین. خانی,1850,#YPYL0J2C,KING
#RUR0RRCQV,GayBBC,4298,#RR0C9828,AIPAC
#VLQY82YLG,DannyL,8460,#2YQLRJUP,Dgb Krieger
#QCG2R9CGU,CH'S_rique,7622,#QY0YLGRC,KING
#UCV9J8URG,sssunxwq,9201,#RGPVQRGY,The last of the
#V9Y2VYLJQ,iud,5121,#QYJC8RRP,8yy
#RLU08YP,cris,4677,#G890YGL9,4hr wait
#U9L0089G9,Elma,9404,#VP9PJJU,legend
#RQQUJL8Y,Deedoe30,10000,#2LQQLC,CLASH AND WAIT
#20Q9YCRGPU,shreyasi,4701,#G0PPVY2J,LEGEND
#2L2UJ09RG,emanilop,10000,#G99RY9L9,KING
#ULQ0LGG0U,dox/paxd,1808,#P8JQYCGR,King
#P8PPL8QQC,Vishal,7062,#QJGVQPY0,KING
#982QCC2L2,Erik13,9083,#2CLYQG9Q,Waifus 5ntrol
#22LUQRQ,Le s,10000,#LG8PQCJV,9194charo
#V8GLC8L0J,therealberry,6282,#RQGY2UV8,clan
#U8JLQ0GUJ,el mejor 345,5413,#LGUUQLP2,waifus legends
#2PUU28,Narblue,8647,#PY0QP98R,SANS’ my Waifu
#V89VCC0YJ,tuzzo08,5114,#L2RRPC2Q,Pro Carate
#208J2GVY2V,Charlie,3607,#QV0UGPVV,Roy Keane 2
#QQJULUUQC,Alexiis23,4110,#GGR0LR2P,LP10
#PQG2JYQ80,Zeros,8363,#LC2LR0JC,$Los corpos$
#VJ9JYUGRC,siuuuuuu,2789,#G2U0LLQL,Clan
#VQJPJGYGC,jacobus,6058,#G90PUVC9,QU1CK D34D
#20QUCRPL0P,tomorrowisa,5331,#G0GRGPV0,king
#PPPVRV20Y,rudra,9822,#QCLJPLG8,Halal Gang roy
#R9RJRVPUJ,bootyclapper,8030,#2GV8UGYP,Legend
#Y0V2UYJ2G,clash boi 2,804,#G80G8VUQ,the
#GPC2PCU2J,your dad,118,#YC0VUGP9,PRO
#CUQUY09PL,João 6472,1389,#QRJC8UPL,Roy
#202U99YJJL,EL CLON,2261,#GU08GRLJ,leGeND
#VRJY099YU,PUG44,8591,#GVLVU0PV,Waiwhitu
#82VRQUGL0,Alvear,7614,#R8L92CJR,"como ,eh v2 42O"
#VUUVVR2UV,Bruno,3712,#PJCPC8YC,Oran PRO
#VQGR0U08Q,momo_963,6022,#G9GQQY28,OBERBARMEN 217
#8GLCV89J,<c5>Ivan,10000,#Q9ULUC0P,clan
#L8UL08RGP,OSSETIA,173,#YCGLLG2P,mega
#C9L9UC20V,pro,121,#Q9PVYUUR,WAR WAR
#2PC89PVGU,셜록현즈,7090,#GG82LR88,clan
#YJVPLYRGG,Lans,7263,#2PVLYL8,WAR
#YRJ0RRV22,God of War III,10000,#YLC2JRLL,War is War
#RLR08CR00,onur,4897,#RYUGJU0U,LEGEND
#UJ2GYQULY,fandicekofc,7561,#RCQC9R29,Clan
#URQLRGYGY,DavieDisco,8805,#2GV8UGYP,Legend
#UUPJ2R9QC,сосиска,4290,#QY0YLGRC,KING
#8PQCVGYLC,مخاوي الليل,7263,#LVLYGGLV,KSA PRO
#UR0P8QY2V,えい,6300,#RYY8YVLC,Pro Empire
#9JLLGGRP,tu papa,7671,#GL2C8GRJ,mega
#URQ8QPGUR,[GEMINISπ,6628,#G9JYR9RP,king
