card_id,trophy_bin,appearances,wins_with_card,total_battles_bin,usage_rate,win_rate,card_name
26000038,0-4999,2530,1083,47493,0.053271008359126605,0.4280632411067194,Ice Golem
26000051,0-4999,2441,1407,47493,0.05139704798601899,0.5764031134780827,Ram Rider
26000024,0-4999,2334,1190,47493,0.04914408439138399,0.5098543273350471,Royal Giant
26000102,0-4999,2148,1118,47493,0.04522771776893437,0.5204841713221602,Berserker
26000023,0-4999,2015,1116,47493,0.042427305076537594,0.5538461538461539,Ice Wizard
26000020,0-4999,1975,1113,47493,0.04158507569536563,0.5635443037974683,Giant Skeleton
26000035,0-4999,1922,1108,47493,0.04046912176531278,0.5764828303850156,Lumberjack
26000060,0-4999,1870,927,47493,0.03937422356978923,0.49572192513368984,Goblin Giant
26000022,0-4999,1754,1015,47493,0.03693175836439054,0.5786773090079818,Minion Horde
28000007,0-4999,1745,733,47493,0.03674225675362685,0.42005730659025786,Lightning
26000044,0-4999,1721,881,47493,0.036236919124923675,0.5119116792562464,Hunter
26000046,0-4999,1699,946,47493,0.035773692965279096,0.5567981165391407,Bandit
26000057,0-4999,1598,658,47493,0.03364706377781989,0.4117647058823529,Flying Machine
26000062,0-4999,1453,836,47493,0.030593982271071525,0.5753613214039918,Magic Archer
26000050,0-4999,1405,766,47493,0.029583307013665173,0.5451957295373665,Royal Ghost
28000002,0-4999,1404,727,47493,0.029562251279135872,0.5178062678062678,Rage
27000008,0-4999,1325,559,47493,0.02789884825132125,0.4218867924528302,X-Bow
27000002,0-4999,1291,569,47493,0.02718295327732508,0.4407436096049574,Mortar
26000103,0-4999,1137,734,47493,0.023940370159813026,0.6455584872471416,Boss Bandit
26000034,0-4999,1114,648,47493,0.023456088265639146,0.5816876122082585,Bowler
28000010,0-4999,1111,458,47493,0.02339292106205125,0.41224122412241226,Graveyard
28000012,0-4999,1059,528,47493,0.022298022866527697,0.4985835694050991,Tornado
26000068,0-4999,1042,502,47493,0.021940075379529616,0.4817658349328215,Battle Healer
26000052,0-4999,1032,492,47493,0.021729518034236624,0.47674418604651164,Zappies
28000024,0-4999,989,507,47493,0.020824121449476766,0.512639029322548,Goblin Curse
26000028,0-4999,982,532,47493,0.020676731307771673,0.5417515274949084,Three Musketeers
26000074,0-4999,979,574,47493,0.020613564104183774,0.5863125638406538,Golden Knight
28000014,0-4999,955,446,47493,0.020108226475480596,0.46701570680628274,Earthquake
26000067,0-4999,877,385,47493,0.01846587918219527,0.43899657924743446,Elixir Golem
26000096,0-4999,877,540,47493,0.01846587918219527,0.6157354618015963,Goblin Machine
27000013,0-4999,862,433,47493,0.018150043164255784,0.5023201856148491,Goblin Drill
28000018,0-4999,861,478,47493,0.018128987429726486,0.5551684088269454,Royal Delivery
26000069,0-4999,831,458,47493,0.017497315393847513,0.5511432009626955,Skeleton King
26000085,0-4999,807,511,47493,0.01699197776514434,0.6332094175960347,Electro Giant
26000093,0-4999,743,397,47493,0.0156444107552692,0.5343203230148048,Little Prince
26000065,0-4999,736,416,47493,0.015497020613564104,0.5652173913043478,Mighty Miner
26000083,0-4999,705,374,47493,0.014844292843155834,0.5304964539007092,Mother Witch
26000053,0-4999,679,394,47493,0.014296843745394057,0.5802650957290133,Rascals
26000061,0-4999,670,326,47493,0.014107342134630366,0.48656716417910445,Fisherman
26000048,0-4999,662,336,47493,0.013938896258395974,0.5075528700906344,Night Witch
26000029,0-4999,605,276,47493,0.012738719390225929,0.456198347107438,Lava Hound
26000072,0-4999,593,348,47493,0.01248605057587434,0.5868465430016864,Archer Queen
26000097,0-4999,575,317,47493,0.012107047354346956,0.551304347826087,Suspicious Bush
26000077,0-4999,498,240,47493,0.01048575579559093,0.4819277108433735,Monk
26000099,0-4999,468,260,47493,0.009854083759711958,0.5555555555555556,Goblinstein
28000016,0-4999,467,241,47493,0.009833028025182659,0.5160599571734475,Heal Spirit
28000006,0-4999,458,301,47493,0.009643526414418967,0.6572052401746725,Mirror
26000087,0-4999,442,212,47493,0.009306634661950182,0.4796380090497738,Phoenix
27000005,0-4999,441,171,47493,0.009285578927420882,0.3877551020408163,Barbarian Hut
28000023,0-4999,414,171,47493,0.008717074095129809,0.41304347826086957,Void
26000101,0-4999,358,140,47493,0.007537952961489062,0.39106145251396646,Rune Giant
27000007,0-4999,358,159,47493,0.007537952961489062,0.4441340782122905,Elixir Collector
26000054,0-4999,354,203,47493,0.007453730023371866,0.5734463276836158,Cannon Cart
26000095,0-4999,243,111,47493,0.00511654349061967,0.4567901234567901,Goblin Demolisher
28000013,0-4999,230,133,47493,0.004842818941738783,0.5782608695652174,Clone
