tag,name,trophies,clan_tag,clan_name
#GRGPV2JC,Ephorux,8324,#GLQ9GRUJ,Fire
#20QPCGYJYP,ronaldojb13,7622,#G2PU82LV,ninja
#V8V82U0R8,Gol,7724,#LCLGPPCP,King
#2UP9YVYR,Saladmander,10000,#G0VVJ0CJ,WAR WAR WAR WAR
#YJ2QJ9QJU,ataraxia,8382,#QVP9JRU2,xyz
#8C8Y2RV9V,Rocky,10000,#G0VVJ0CJ,WAR WAR WAR WAR
#V0P0UU9QP,woolies,7155,#9GCVJGVC,war war war
#J0GJ9QQVY,nexoti,10000,#Q9Y9J08Y,storm
#R0LQ9GCY,dre22222,10000,#900QP9R,Dragon
#LYRQ8VUGJ,Aiden,7536,#QCGPPL0G,ninja
#V2Q8PUCV9,spartan,4091,#QVLRL2RQ,ELITE
#2080VPR8RY,miki,2532,#Y2JQ9V8L,dark
#L9CJPLCV,KING REZA,6933,#QPC09PU9,god
#GVLY0928,charlie james,10000,#G0VVJ0CJ,WAR WAR WAR WAR
#PG9GL8YV9,dÂlghÂk,9387,#RCRJ2PCV,The
#RUCRVR8JL,sam,9152,#QP2UGCV8,Clan
#V8UQ0YJV9,reza,9687,#LUY8PRVR,god
#GQ2P8L9V,Dani xerez,8100,#GY2YRG80,ELITE
#98LUQPGCL,rahul,361,#L9CLJJRJ,God God God God
#2082CCJUY0,Kiyotaka,6301,#QPC09PU9,god
#CCC2JC99Q,daiz•,1434,#G0CQUPY9,STAR
#8LLC8YP2V,Karma,7833,#G2QQL292,Storm
#V82UY09UG,FaLeNa OsCuRa,2390,#LJUQQRCU,The
#PLG8R8P9J,RezuHohlovIRL,10000,#RGPVQRGY,The last of the
#2YVGVG8PY,CHAMPION,4028,#YYRLUVRU,ABC ABC ABC ABC
#LVUJJPU8R,Arthur13,7211,#LQPG288U,Dragon
#VYY9QUPUU,B95,8000,#R02QP2VY,Nova
#VL9UVPP2U,moisas. bzzz,6534,#G009GV8C,pro
#20ULJPLV,Kenji,10000,#LCLGPPCP,King
#L8V8JCULG,PabloT,5080,#YUU2CP82,PRO
#YUGGVCPL,cameron,9637,#LR2GQC0Y,Queen
#RLPGGC0C2,gudy,9642,#G29CQUL0,CLAN CLAN CLAN
#QYQGCVJ8L,joselu,8066,#GY2YRG80,ELITE
#U08JRYGRP,guizz,3222,#G0L88G9G,elite
#PVRPCGUYJ,Chalo.,8922,#8G0U9U2,nova
#9VU8UVL89,david moreno,9987,#QJUJJ898,ELITE
#L0RU0VLQL,Lucas 180,5560,#LJUQQRCU,The
#V0P89PPL2,R1,3996,#G9GRY8V0,STAR
#C88JR9G28,raulgarcia,9001,#GY2YRG80,ELITE
#UUGQY9YU0,medonho,6720,#PY88YPPJ,Fire
#UJ9Y0VPCR,Nuk3s,5711,#QVP9JRU2,xyz
#V9RRGU0Q8,☆SHADOW☆,2360,#GG89LJP0,Nova
#VQ9JPUGG,unixLike,2498,#LUJ89G08,XYZ
#V2GP92JJ9,Harry Spotter,10000,#R09P2P0V,War
#QL0JLR2CC,rubixpro3,345,#L9CLJJRJ,God God God God
#UPVPGGLR2,franek,5526,#L89U8J0R,ABC ABC ABC ABC
#20YG0JVVVR,crisyer2,7655,#G0J0QRQ9,King
#GCRPLJ0,matt,9759,#8G0U9U2,nova
#UY8YGU0U9,URIEL ML,4692,#QJCGY98C,Queen
#20YCQPLP9Y,Gor,1300,#R8CVYV98,star
#2QGVUVR98,H_BOMB2,10000,#9P9PJ0GQ,War War War
#JGGU2JU9P,bublebootyclapr,10000,#Y2GLLC2,ELITE
#V0RC80YPU,FEARLESS,3080,#G89GQJV0,NİNJA
#G82P0LV,Foxinator,10000,#Q09R0C9,Elite
#8RQCYPQL,Sagar,9726,#900RUJUY,clan clan clan
#VQGQV99Y8,FTP | PouPikxe,7700,#LQPG288U,Dragon
#QPYUPR9PG,@Ansel@,6194,#QCGPPL0G,ninja
#C9PCRV2LC,衝突羅亞萊斯,8541,#G0VYVV29,war
#VYPVV9PPC,Flascha,7030,#282UUPQ,king
#QVYJGRVVY,estar,9447,#G0RQPGVG,Royal
#VGQPCRPUY,borko,3120,#L89U8J0R,ABC ABC ABC ABC
#2GY22Y0YP,neia,9715,#GJP2YVJ0,Elite
#8Q08CU98,Doobie,10000,#Q09R0C9,Elite
#80PUY822G,Hylite,8141,#QU0PRCGP,NOVA
